id;ip_address;port;country;protocol;anonymity;organization;speed;response_time;success_count;fail_count
1;commonly;29701;Tajikistan;blah;shine murky happy-go-lucky;deejay geez;27206;15127;16793;8911
2;yieldingly aching;28181;French Polynesia;drat against;who;consequently brr;9792;20095;25756;10935
3;oleo although white;26136;Yemen;huzzah bolt;world immediately;cap lustrous;5179;21601;3039;27770
4;ugh vintner salad;6089;Guinea;lest absent since;what quixotic;lychee;16942;780;6052;3301
5;gah yum;32438;Bahrain;bray drat silently;doubtfully beyond;besides;12484;17361;19465;7028
6;acknowledgment gloat ick;30719;Solomon Islands;yuck over;opposite;recognise athletic who;21405;32379;19888;10186
7;anglicise meh colossal;4308;Niue;yum er;because abound;off;21401;16037;289;22689
8;supposing hmph;20380;Belgium;or thoughtfully;draw brisk tremendously;into indeed moist;19208;16224;22788;5486
9;drat ouch meh;20666;Qatar;duh failing;scale recognition;bronchitis;30821;14443;401;9008
10;astride frightening although;15966;Dominica;gadzooks;although since;plus;8136;27695;28729;6206
